molecule_chembl_id,canonical_smiles,pIC50,bioactivity,Number of H donors,Number of H Acceptors,LogP,molecular mass,Ro5violations,Ro5Rule,PSA,numrotbonds,Verber Rule P or F,QED
CHEMBL3331343,CC(C)Cc1ccc(C(C)C(=O)OCc2c(C(C)C)c(=O)n(-c3ccccc3)n2C)cc1,5.7447274948966935,intermediate,0,5,5.3448000000000055,434.5800000000001,1,Pass,53.230000000000004,8,pass,0.4495022801351496
CHEMBL521,CC(C)Cc1ccc(C(C)C(=O)O)cc1,5.366531544420414,intermediate,1,1,3.073200000000001,206.28499999999997,0,Pass,37.3,4,pass,0.8215995486924976
CHEMBL139,O=C(O)Cc1ccccc1Nc1c(Cl)cccc1Cl,4.772113295386326,inactive,2,2,4.364100000000001,296.153,0,Pass,49.33,4,pass,0.8807285394160607
CHEMBL3331466,CC(C)c1c(COC(=O)C(C)c2cccc(C(=O)c3ccccc3)c2)n(C)n(-c2ccccc2)c1=O,7.3979400086720375,active,0,6,5.377300000000005,482.58000000000015,1,Pass,70.30000000000001,8,pass,0.24983516479400994
CHEMBL571,CC(C(=O)O)c1cccc(C(=O)c2ccccc2)c1,5.42021640338319,intermediate,1,2,3.1057000000000015,254.285,0,Pass,54.37,4,pass,0.8528036890699656
CHEMBL3331343,CC(C)Cc1ccc(C(C)C(=O)OCc2c(C(C)C)c(=O)n(-c3ccccc3)n2C)cc1,5.886056647693163,intermediate,0,5,5.3448000000000055,434.5800000000001,1,Pass,53.230000000000004,8,pass,0.4495022801351496
CHEMBL3331465,CC(C)c1c(COC(=O)Cc2ccccc2Nc2c(Cl)cccc2Cl)n(C)n(-c2ccccc2)c1=O,5.00436480540245,intermediate,1,6,6.635700000000006,524.4480000000001,2,Fail,65.25999999999999,8,pass,0.2627797363380543
CHEMBL3331466,CC(C)c1c(COC(=O)C(C)c2cccc(C(=O)c3ccccc3)c2)n(C)n(-c2ccccc2)c1=O,5.657577319177793,intermediate,0,6,5.377300000000005,482.58000000000015,1,Pass,70.30000000000001,8,pass,0.24983516479400994
CHEMBL2105528,Cc1c(NCc2c(C(C)C)c(=O)n(-c3ccccc3)n2C)c(=O)n(-c2ccccc2)n1C,6.0,active,1,7,3.7093200000000026,431.54000000000013,0,Pass,65.89,6,pass,0.5061713481223516
CHEMBL1165011,Cc1c(N)c(=O)n(-c2ccccc2)n1C,4.376750709602099,inactive,1,4,1.0666200000000003,203.245,0,Pass,52.95,1,pass,0.7532469796693759
CHEMBL118,Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1,7.301029995663981,active,1,4,3.5139200000000006,381.3790000000001,0,Pass,77.98,3,pass,0.7541053298167572
CHEMBL2105528,Cc1c(NCc2c(C(C)C)c(=O)n(-c3ccccc3)n2C)c(=O)n(-c2ccccc2)n1C,6.0,active,1,7,3.7093200000000026,431.54000000000013,0,Pass,65.89,6,pass,0.5061713481223516
CHEMBL3342570,Cc1cc(Br)cc2c1OC(C(F)(F)F)C(C(=O)O)=C2,7.552841968657781,active,1,2,3.548820000000001,337.09100000000007,0,Pass,46.53,1,pass,0.8525850296172803
CHEMBL3355602,[2H]C([2H])([2H])c1cc2c(c(C([2H])([2H])[2H])c1Cl)C=C(C(=O)O)C(C(F)(F)F)O2,7.267606240177032,active,1,2,3.748140000000001,312.70361066799995,0,Pass,46.53,3,pass,0.9243554516132926
CHEMBL3355603,[2H]C([2H])([2H])c1cc2c(c(C([2H])([2H])[2H])c1Br)C=C(C(=O)O)C(C(F)(F)F)O2,7.366531544420414,active,1,2,3.857240000000001,357.154610668,0,Pass,46.53,3,pass,0.893855505251861
CHEMBL3355604,[2H]C([2H])([2H])c1c(Br)c2c(c(C([2H])([2H])[2H])c1Br)C=C(C(=O)O)C(C(F)(F)F)O2,7.075720713938118,active,1,2,4.619740000000002,436.05061066800005,0,Pass,46.53,3,pass,0.7529559583971916
CHEMBL3355605,[2H]C([2H])([2H])c1ccc2c(c1)C=C(C(=O)O)C(C(F)(F)F)O2,5.0,inactive,1,2,2.78632,261.213305334,0,Pass,46.53,2,pass,0.8899758565695478
CHEMBL3355606,[2H]C([2H])([2H])c1cc(Cl)c2c(c1)C=C(C(=O)O)C(C(F)(F)F)O2,7.200659450546418,active,1,2,3.439720000000001,295.658305334,0,Pass,46.53,2,pass,0.9089067918702157
CHEMBL3355607,[2H]C([2H])([2H])c1cc2c(c(C([2H])([2H])[2H])c1)OC(C(F)(F)F)C(C(=O)O)=C2,6.823908740944319,active,1,2,3.0947400000000007,278.2586106679999,0,Pass,46.53,3,pass,0.9237720002126623
CHEMBL3355608,[2H]C([2H])([2H])c1cc(Cl)cc2c1OC(C(F)(F)F)C(C(=O)O)=C2,7.229147988357855,active,1,2,3.4397200000000003,295.658305334,0,Pass,46.53,2,pass,0.9089067918702157
CHEMBL3355609,[2H]C([2H])([2H])c1cc(Br)cc2c1OC(C(F)(F)F)C(C(=O)O)=C2,7.4089353929735005,active,1,2,3.54882,340.10930533400006,0,Pass,46.53,2,pass,0.8957374319918765
CHEMBL3355610,[2H]C([2H])([2H])C([2H])([2H])c1cc(OC(F)(F)F)cc2c1OC(C(F)(F)F)C(C(=O)O)=C2,7.214670164989233,active,1,3,3.9389000000000003,361.24850889000004,0,Pass,55.760000000000005,4,pass,0.8257750556361155
CHEMBL1288771,Cc1cc2c(c(C)c1Cl)C=C(C(=O)O)C(C(F)(F)F)O2,7.161150909262744,active,1,2,3.748140000000002,306.667,0,Pass,46.53,1,pass,0.8593028488679403
CHEMBL3342568,Cc1cc2c(c(C)c1Br)C=C(C(=O)O)C(C(F)(F)F)O2,6.721246399047171,active,1,2,3.857240000000002,351.118,0,Pass,46.53,1,pass,0.8359943935748948
CHEMBL3342569,Cc1c(Br)c(C)c2c(c1Br)OC(C(F)(F)F)C(C(=O)O)=C2,7.161150909262744,active,1,2,4.619740000000002,430.01400000000007,0,Pass,46.53,1,pass,0.708014777263229
